Data As Of,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia and COVID-19 Deaths
09/27/2023,Illinois,All Sexes,All Ages,38724.0,446027.0,19882.0
09/27/2023,Illinois,All Sexes,Under 1 year,0.0,2500.0,0.0
09/27/2023,Illinois,All Sexes,0-17 years,41.0,4514.0,15.0
09/27/2023,Illinois,All Sexes,1-4 years,0.0,459.0,0.0
09/27/2023,Illinois,All Sexes,5-14 years,14.0,745.0,0.0
09/27/2023,Illinois,All Sexes,15-24 years,82.0,4875.0,37.0
09/27/2023,Illinois,All Sexes,18-29 years,211.0,8353.0,102.0
09/27/2023,Illinois,All Sexes,25-34 years,381.0,9518.0,166.0
09/27/2023,Illinois,All Sexes,30-39 years,597.0,11470.0,282.0
09/27/2023,Illinois,All Sexes,35-44 years,867.0,13668.0,411.0
09/27/2023,Illinois,All Sexes,40-49 years,1355.0,17251.0,651.0
09/27/2023,Illinois,All Sexes,45-54 years,2079.0,24506.0,1086.0
09/27/2023,Illinois,All Sexes,50-64 years,6139.0,71744.0,3419.0
09/27/2023,Illinois,All Sexes,55-64 years,4903.0,57061.0,2757.0
09/27/2023,Illinois,All Sexes,65-74 years,8325.0,89073.0,4686.0
09/27/2023,Illinois,All Sexes,75-84 years,10039.0,108151.0,5454.0
09/27/2023,Illinois,All Sexes,85 years and over,12017.0,135471.0,5273.0
09/27/2023,Indiana,All Sexes,All Ages,26885.0,282262.0,13954.0
09/27/2023,Indiana,All Sexes,Under 1 year,16.0,1884.0,0.0
09/27/2023,Indiana,All Sexes,0-17 years,53.0,3268.0,15.0
09/27/2023,Indiana,All Sexes,1-4 years,15.0,354.0,0.0
09/27/2023,Indiana,All Sexes,5-14 years,11.0,515.0,0.0
09/27/2023,Indiana,All Sexes,15-24 years,67.0,3276.0,36.0
09/27/2023,Indiana,All Sexes,18-29 years,120.0,5582.0,63.0
09/27/2023,Indiana,All Sexes,25-34 years,207.0,6443.0,110.0
09/27/2023,Indiana,All Sexes,30-39 years,331.0,7740.0,174.0
09/27/2023,Indiana,All Sexes,35-44 years,515.0,9195.0,298.0
09/27/2023,Indiana,All Sexes,40-49 years,865.0,11726.0,525.0
09/27/2023,Indiana,All Sexes,45-54 years,1379.0,16353.0,824.0
09/27/2023,Indiana,All Sexes,50-64 years,4347.0,47501.0,2622.0
09/27/2023,Indiana,All Sexes,55-64 years,3506.0,37797.0,2120.0
09/27/2023,Indiana,All Sexes,65-74 years,6033.0,59671.0,3523.0
09/27/2023,Indiana,All Sexes,75-84 years,7349.0,70402.0,3894.0
09/27/2023,Indiana,All Sexes,85 years and over,7787.0,76372.0,3138.0
09/27/2023,Iowa,All Sexes,All Ages,11026.0,125759.0,4065.0
09/27/2023,Iowa,All Sexes,Under 1 year,0.0,534.0,0.0
09/27/2023,Iowa,All Sexes,0-17 years,12.0,1055.0,0.0
09/27/2023,Iowa,All Sexes,1-4 years,0.0,120.0,0.0
09/27/2023,Iowa,All Sexes,5-14 years,0.0,207.0,0.0
09/27/2023,Iowa,All Sexes,15-24 years,11.0,995.0,0.0
09/27/2023,Iowa,All Sexes,18-29 years,38.0,1554.0,11.0
09/27/2023,Iowa,All Sexes,25-34 years,71.0,1785.0,23.0
09/27/2023,Iowa,All Sexes,30-39 years,121.0,2297.0,37.0
09/27/2023,Iowa,All Sexes,35-44 years,184.0,2928.0,68.0
09/27/2023,Iowa,All Sexes,40-49 years,275.0,3856.0,120.0
09/27/2023,Iowa,All Sexes,45-54 years,464.0,5698.0,200.0
09/27/2023,Iowa,All Sexes,50-64 years,1511.0,17755.0,654.0
09/27/2023,Iowa,All Sexes,55-64 years,1216.0,14250.0,528.0
09/27/2023,Iowa,All Sexes,65-74 years,2075.0,24496.0,911.0
09/27/2023,Iowa,All Sexes,75-84 years,2926.0,31500.0,1101.0
09/27/2023,Iowa,All Sexes,85 years and over,4068.0,43246.0,1231.0
09/27/2023,Kansas,All Sexes,All Ages,10152.0,112874.0,4487.0
09/27/2023,Kansas,All Sexes,Under 1 year,0.0,660.0,0.0
09/27/2023,Kansas,All Sexes,0-17 years,14.0,1206.0,0.0
09/27/2023,Kansas,All Sexes,1-4 years,0.0,103.0,0.0
09/27/2023,Kansas,All Sexes,5-14 years,0.0,203.0,0.0
09/27/2023,Kansas,All Sexes,15-24 years,31.0,1347.0,10.0
09/27/2023,Kansas,All Sexes,18-29 years,58.0,2060.0,25.0
09/27/2023,Kansas,All Sexes,25-34 years,81.0,2222.0,39.0
09/27/2023,Kansas,All Sexes,30-39 years,142.0,2780.0,68.0
09/27/2023,Kansas,All Sexes,35-44 years,242.0,3465.0,116.0
09/27/2023,Kansas,All Sexes,40-49 years,395.0,4237.0,171.0
09/27/2023,Kansas,All Sexes,45-54 years,565.0,5578.0,263.0
09/27/2023,Kansas,All Sexes,50-64 years,1606.0,17198.0,819.0
09/27/2023,Kansas,All Sexes,55-64 years,1283.0,13903.0,655.0
09/27/2023,Kansas,All Sexes,65-74 years,2136.0,22752.0,1055.0
09/27/2023,Kansas,All Sexes,75-84 years,2664.0,27558.0,1222.0
09/27/2023,Kansas,All Sexes,85 years and over,3137.0,35083.0,1124.0
09/27/2023,Kentucky,All Sexes,All Ages,20274.0,209080.0,10272.0
09/27/2023,Kentucky,All Sexes,Under 1 year,0.0,1035.0,0.0
09/27/2023,Kentucky,All Sexes,0-17 years,22.0,1930.0,0.0
09/27/2023,Kentucky,All Sexes,1-4 years,0.0,225.0,0.0
09/27/2023,Kentucky,All Sexes,5-14 years,10.0,343.0,0.0
09/27/2023,Kentucky,All Sexes,15-24 years,50.0,2213.0,18.0
09/27/2023,Kentucky,All Sexes,18-29 years,100.0,3861.0,37.0
09/27/2023,Kentucky,All Sexes,25-34 years,165.0,4841.0,69.0
09/27/2023,Kentucky,All Sexes,30-39 years,278.0,6554.0,136.0
09/27/2023,Kentucky,All Sexes,35-44 years,457.0,8354.0,246.0
09/27/2023,Kentucky,All Sexes,40-49 years,708.0,10443.0,388.0
09/27/2023,Kentucky,All Sexes,45-54 years,1201.0,14356.0,652.0
09/27/2023,Kentucky,All Sexes,50-64 years,3646.0,40147.0,2042.0
09/27/2023,Kentucky,All Sexes,55-64 years,2864.0,31568.0,1619.0
09/27/2023,Kentucky,All Sexes,65-74 years,4897.0,46817.0,2777.0
